Production Model,Version,Defect Type,Defect Observation Area,QA Worker,Shift Time,Component Category,Fixture ID,Inspection Week,Production Order Priority
Model 595242-854,05,missing component,Production Line 2,Tristian,Morning,Capacitor,FX-043,2025-W49,Low
Model 595242-854,02,component broken,Production Line 3,Xiang Liang,Afternoon,Connector,FX-021,2025-W12,High
Model 595242-854,03,lifted component,Production Line 2,Zoya,Morning,Connector,FX-050,2025-W36,High
Model 595242-854,05,pin hole,Production Line 2,Geofrey,Night,Capacitor,FX-049,2025-W01,Low
Model 595204-792,05,component misalignment,Production Line 3,Daysha,Afternoon,Diode,FX-002,2025-W51,Low
Model 595204-792,04,pin damaged,Unknown,Alaine,Afternoon,Capacitor,FX-013,2025-W06,High
Model 595130-195,02,no property assembled,Production Line 2,Mel,Afternoon,Connector,FX-025,2025-W09,Low
Model 595242-854,05,lifted component,Production Line 1,Davonte,Afternoon,Transistor,FX-020,2025-W43,Low
Model 595242-854,03,component broken,Production Line 2,Xiang Liang,Afternoon,Resistor,FX-029,2025-W27,High
Model 595130-195,03,missing component,Unknown,Geofrey,Morning,Transistor,FX-021,2025-W02,Low
Model 595532-132,01,trace open,Production Line 3,Darci,Morning,Transistor,FX-005,2025-W51,Low
Model 595242-854,04,lifted component,Production Line 2,Leena,Afternoon,Resistor,FX-001,2025-W04,Low
Model 595130-195,01,component broken,Final Assembly Line,Darci,Morning,Diode,FX-017,2025-W07,Medium
Model 595214-125,04,excessive solder,Final Assembly Line,Alaine,Afternoon,Resistor,FX-049,2025-W29,Medium
Model 595130-195,01,long terminals,Production Line 1,Jerome,Morning,Transistor,FX-018,2025-W27,Medium
Model 595242-854,04,solder bridge,Production Line 2,Mel,Morning,Capacitor,FX-030,2025-W09,High
Model 595130-195,02,no property assembled,Production Line 1,Xiang Liang,Night,Resistor,FX-024,2025-W40,Medium
Model 595130-195,03,component misalignment,Unknown,Geofrey,Night,Capacitor,FX-030,2025-W27,High
Model 595242-854,03,wrong configuration,Production Line 3,Geofrey,Morning,Diode,FX-038,2025-W40,Medium
Model 595130-195,04,damaged/ lifted pad,Production Line 1,Jerome,Morning,Transistor,FX-049,2025-W18,High
Model 595130-195,05,missing component,Production Line 1,Tristian,Night,Resistor,FX-005,2025-W48,Low
Model 595532-132,05,insufficient solder,Unknown,Sloane,Afternoon,Resistor,FX-018,2025-W35,Low
Model 595859-381,01,damaged component,Production Line 3,Xiang Liang,Morning,Capacitor,FX-032,2025-W31,Medium
Model 595214-125,01,solder bridge,Production Line 3,Zoya,Night,Capacitor,FX-014,2025-W47,High
Model 595242-854,03,lifted component,Production Line 2,Davonte,Afternoon,Transistor,FX-013,2025-W14,High
Model 595130-195,03,missing/unknown,Unknown,Daysha,Morning,Connector,FX-050,2025-W51,High
Model 595214-125,05,excessive solder,Production Line 3,Davonte,Afternoon,Connector,FX-050,2025-W23,Low
Model 595859-381,05,missing/unknown,Production Line 2,Daysha,Afternoon,Transistor,FX-033,2025-W33,Medium
Model 595323-338,03,reversed component,Final Assembly Line,Davonte,Night,Connector,FX-015,2025-W10,High
Model 595323-328,05,pin damaged,Final Assembly Line,Tristian,Morning,Connector,FX-046,2025-W48,High
Model 595130-195,01,missing component,Production Line 2,Zoya,Night,Resistor,FX-008,2025-W42,Low
Model 595242-854,03,lifted component,QA Inspection Station,Alaine,Afternoon,Connector,FX-024,2025-W46,Medium
Model 595242-854,02,bad modules,Final Assembly Line,Sloane,Afternoon,Diode,FX-012,2025-W29,Medium
Model 595130-195,05,reversed component,Production Line 2,Mel,Afternoon,Connector,FX-034,2025-W22,High
Model 595130-195,04,no property assembled,Production Line 1,Xiang Liang,Morning,Capacitor,FX-013,2025-W40,Medium
Model 595242-854,05,component broken,Unknown,Xiang Liang,Morning,Connector,FX-034,2025-W11,Medium
Model 595130-195,05,no property assembled,Production Line 1,Alaine,Night,Transistor,FX-036,2025-W01,Medium
Model 595130-195,03,wrong component,Unknown,Tristian,Morning,Resistor,FX-044,2025-W09,High
Model 595130-195,01,reversed component,Final Assembly Line,Leena,Afternoon,Capacitor,FX-025,2025-W42,Low
Model 595323-328,02,component broken,QA Inspection Station,Geofrey,Night,Capacitor,FX-007,2025-W49,High
Model 595242-854,05,missing/unknown,Production Line 2,Geofrey,Morning,Capacitor,FX-005,2025-W26,Low
Model 595532-132,05,long terminals,Production Line 3,Darci,Afternoon,Transistor,FX-047,2025-W18,Low
Model 595130-195,02,component misalignment,QA Inspection Station,Darci,Morning,Connector,FX-010,2025-W44,Medium
Model 595859-381,01,component height/titled,Production Line 2,Mel,Afternoon,Resistor,FX-014,2025-W37,Low
Model 595189-704,02,solder bridge,Production Line 2,Jerome,Afternoon,Transistor,FX-037,2025-W11,High
Model 595242-854,05,solder bridge,Production Line 2,Sloane,Afternoon,Diode,FX-009,2025-W45,High
Model 595532-132,02,long terminals,Production Line 3,Davonte,Afternoon,Diode,FX-027,2025-W28,Low
Model 595130-195,05,long terminals,Final Assembly Line,Sloane,Afternoon,Diode,FX-014,2025-W31,High
Model 595859-381,04,wrong routing,Unknown,Davonte,Morning,Transistor,FX-039,2025-W08,Low
Model 595242-854,03,pin hole,QA Inspection Station,Darci,Night,Connector,FX-004,2025-W21,Medium
Model 595214-125,01,reversed component,Production Line 1,Leena,Night,Transistor,FX-038,2025-W19,Medium
Model 595130-195,01,component broken,Production Line 1,Zoya,Afternoon,Transistor,FX-021,2025-W31,High
Model 595858-658,05,solder void,Production Line 2,Leena,Morning,Diode,FX-003,2025-W07,High
Model 595859-381,05,reversed component,Production Line 2,Tristian,Afternoon,Resistor,FX-050,2025-W45,Medium
Model 595214-125,05,solder bridge,Production Line 3,Alaine,Night,Resistor,FX-026,2025-W12,Low
Model 595214-125,04,component height/titled,Unknown,Tristian,Afternoon,Resistor,FX-017,2025-W51,High
Model 595242-854,02,component broken,Unknown,Jerome,Night,Resistor,FX-035,2025-W52,Medium
Model 595130-195,03,no property assembled,Production Line 1,Tristian,Morning,Diode,FX-016,2025-W51,High
Model 595858-658,03,damaged/ lifted pad,Production Line 2,Zoya,Morning,Connector,FX-017,2025-W34,Low
Model 595204-792,04,pin damaged,Unknown,Zoya,Morning,Capacitor,FX-043,2025-W21,High
Model 595130-195,01,damaged/ lifted pad,QA Inspection Station,Jerome,Afternoon,Transistor,FX-044,2025-W36,Low
Model 595859-381,04,missing/unknown,Production Line 1,Davonte,Afternoon,Connector,FX-045,2025-W31,Low
Model 595214-125,02,wrong component,Production Line 3,Xiang Liang,Morning,Connector,FX-006,2025-W43,High
Model 595130-195,03,missing/unknown,Production Line 3,Davonte,Morning,Transistor,FX-036,2025-W21,Low
Model 595532-132,01,long terminals,Final Assembly Line,Davonte,Afternoon,Resistor,FX-030,2025-W39,Low
Model 595242-854,01,damaged/ lifted pad,Final Assembly Line,Tristian,Night,Capacitor,FX-045,2025-W35,Medium
Model 595242-854,03,solder bridge,Unknown,Sloane,Night,Connector,FX-036,2025-W08,Medium
Model 595130-195,01,missing component,Production Line 1,Mel,Afternoon,Connector,FX-035,2025-W07,Medium
Model 595532-132,02,long terminals,Production Line 3,Zoya,Night,Transistor,FX-032,2025-W12,Low
Model 595130-195,03,component misalignment,QA Inspection Station,Xiang Liang,Afternoon,Transistor,FX-030,2025-W25,Low
Model 595858-658,01,component misalignment,Unknown,Tristian,Night,Connector,FX-023,2025-W08,High
Model 595242-854,04,pin hole,Final Assembly Line,Mel,Afternoon,Transistor,FX-003,2025-W14,High
Model 595214-125,04,reversed component,Final Assembly Line,Zoya,Night,Capacitor,FX-003,2025-W37,High
Model 595859-381,01,missing/unknown,Production Line 1,Tristian,Morning,Connector,FX-042,2025-W31,High
Model 595130-195,05,missing component,Final Assembly Line,Leena,Afternoon,Connector,FX-020,2025-W48,Medium
Model 595130-195,01,reversed component,Production Line 3,Daysha,Morning,Capacitor,FX-002,2025-W37,High
Model 595130-195,04,missing component,Production Line 1,Tristian,Morning,Diode,FX-002,2025-W38,High
Model 595189-704,05,no property assembled,Unknown,Sloane,Afternoon,Transistor,FX-007,2025-W40,Medium
Model 595532-132,05,no property assembled,Final Assembly Line,Jerome,Night,Capacitor,FX-009,2025-W42,Low
Model 595859-381,04,damaged/ lifted pad,Production Line 1,Mel,Afternoon,Connector,FX-047,2025-W40,Medium
Model 595130-195,03,long terminals,Unknown,Geofrey,Night,Connector,FX-049,2025-W19,Low
Model 595242-854,05,lifted component,Production Line 2,Geofrey,Night,Connector,FX-030,2025-W24,Medium
Model 595858-658,05,component misalignment,Unknown,Leena,Afternoon,Diode,FX-024,2025-W34,Low
Model 595214-125,02,excessive solder,Unknown,Alaine,Night,Transistor,FX-028,2025-W33,Low
Model 595242-854,01,lifted component,Production Line 1,Geofrey,Morning,Connector,FX-014,2025-W13,Low
Model 595242-854,02,lifted component,Production Line 1,Mel,Night,Transistor,FX-039,2025-W33,High
Model 595204-792,05,damaged/ lifted pad,Production Line 1,Leena,Night,Diode,FX-044,2025-W26,Medium
Model 595130-195,04,no property assembled,Unknown,Sloane,Night,Capacitor,FX-025,2025-W36,Low
Model 595214-125,01,solder bridge,Production Line 2,Alaine,Afternoon,Diode,FX-013,2025-W32,Low
Model 595130-195,03,component misalignment,Production Line 3,Darci,Morning,Connector,FX-025,2025-W33,High
Model 595214-125,01,component height/titled,Production Line 2,Xiang Liang,Morning,Resistor,FX-041,2025-W14,Medium
Model 595204-792,02,billboarding,QA Inspection Station,Leena,Night,Diode,FX-026,2025-W30,Medium
Model 595242-854,04,lifted component,Final Assembly Line,Davonte,Night,Capacitor,FX-038,2025-W52,Low
Model 595858-658,05,solder void,Final Assembly Line,Alaine,Morning,Resistor,FX-048,2025-W19,High
Model 595204-792,04,no property assembled,Unknown,Xiang Liang,Morning,Connector,FX-049,2025-W21,Medium
Model 595130-195,04,missing/unknown,Final Assembly Line,Xiang Liang,Afternoon,Connector,FX-024,2025-W07,Medium
Model 595130-195,01,bad modules,QA Inspection Station,Alaine,Afternoon,Diode,FX-001,2025-W14,High
Model 595130-195,04,no property assembled,Final Assembly Line,Davonte,Morning,Diode,FX-028,2025-W08,Medium
Model 595204-792,04,pin damaged,Production Line 1,Zoya,Night,Connector,FX-006,2025-W32,High
Model 595130-195,02,no property assembled,Production Line 3,Davonte,Afternoon,Transistor,FX-032,2025-W34,Medium
Model 595130-195,02,component misalignment,Unknown,Daysha,Night,Capacitor,FX-046,2025-W41,Low
Model 595130-195,04,no property assembled,Final Assembly Line,Xiang Liang,Morning,Resistor,FX-017,2025-W06,Medium
Model 595859-381,05,reversed component,Unknown,Darci,Night,Diode,FX-032,2025-W42,High
Model 595214-125,03,component height/titled,Production Line 1,Daysha,Morning,Resistor,FX-050,2025-W13,Low
Model 595323-328,03,missing/unknown,Final Assembly Line,Davonte,Night,Transistor,FX-006,2025-W11,High
Model 595130-195,02,insufficient solder,Final Assembly Line,Darci,Morning,Resistor,FX-034,2025-W47,High
Model 595214-125,02,reversed component,Production Line 2,Daysha,Morning,Connector,FX-035,2025-W39,Low
Model 595130-195,02,component misalignment,Production Line 1,Daysha,Afternoon,Resistor,FX-028,2025-W18,High
Model 595323-328,04,missing/unknown,QA Inspection Station,Zoya,Afternoon,Resistor,FX-029,2025-W36,Medium
Model 595130-195,03,missing component,Production Line 2,Xiang Liang,Morning,Resistor,FX-038,2025-W46,Medium
Model 595130-195,01,missing/unknown,QA Inspection Station,Xiang Liang,Afternoon,Capacitor,FX-002,2025-W26,Low
Model 595242-854,02,lifted component,QA Inspection Station,Leena,Morning,Capacitor,FX-034,2025-W04,Low
Model 595130-195,02,no property assembled,Production Line 2,Mel,Night,Connector,FX-017,2025-W05,Medium
Model 595859-381,02,missing/unknown,Final Assembly Line,Davonte,Morning,Capacitor,FX-001,2025-W08,High
Model 595130-195,02,missing/unknown,Production Line 1,Alaine,Night,Transistor,FX-039,2025-W42,Medium
Model 595242-854,03,pin hole,Production Line 1,Geofrey,Night,Transistor,FX-047,2025-W23,Medium
Model 595130-195,05,bad modules,Production Line 3,Tristian,Morning,Connector,FX-035,2025-W17,High
Model 595242-854,03,damaged/ lifted pad,Production Line 1,Daysha,Afternoon,Diode,FX-029,2025-W38,High
Model 595130-195,01,component misalignment,Final Assembly Line,Daysha,Afternoon,Capacitor,FX-029,2025-W39,High
Model 595214-125,04,reversed component,Production Line 1,Jerome,Morning,Capacitor,FX-008,2025-W49,Low
Model 595532-132,01,insufficient solder,Unknown,Xiang Liang,Morning,Diode,FX-013,2025-W20,Low
Model 595130-195,05,wrong configuration,Unknown,Darci,Night,Resistor,FX-029,2025-W18,High
Model 595242-854,05,lifted component,Production Line 1,Sloane,Night,Connector,FX-012,2025-W25,Medium
Model 595130-195,02,wrong routing,Unknown,Davonte,Morning,Connector,FX-003,2025-W20,Low
Model 595130-195,03,missing/unknown,QA Inspection Station,Leena,Afternoon,Transistor,FX-043,2025-W28,High
Model 595130-195,03,no property assembled,QA Inspection Station,Leena,Night,Transistor,FX-034,2025-W21,Medium
Model 595242-854,02,component broken,Production Line 2,Daysha,Night,Resistor,FX-009,2025-W04,High
Model 595130-195,02,missing component,Unknown,Davonte,Night,Diode,FX-033,2025-W32,Low
Model 595130-195,05,no property assembled,Final Assembly Line,Tristian,Morning,Capacitor,FX-036,2025-W27,Low
Model 595214-125,05,component height/titled,Production Line 3,Tristian,Morning,Resistor,FX-011,2025-W08,High
Model 595130-195,01,missing component,Production Line 2,Geofrey,Afternoon,Transistor,FX-022,2025-W26,Low
Model 595859-381,01,damaged/ lifted pad,Unknown,Geofrey,Morning,Resistor,FX-006,2025-W31,Low
Model 595130-195,02,no property assembled,Production Line 1,Zoya,Afternoon,Diode,FX-041,2025-W18,Low
Model 595532-132,05,insufficient solder,QA Inspection Station,Alaine,Night,Connector,FX-004,2025-W10,Low
Model 595214-125,02,solder bridge,Production Line 2,Sloane,Morning,Connector,FX-025,2025-W39,Medium
Model 595130-195,01,component misalignment,QA Inspection Station,Sloane,Morning,Connector,FX-039,2025-W27,Medium
Model 595242-854,01,solder bridge,Final Assembly Line,Sloane,Afternoon,Diode,FX-026,2025-W27,Medium
Model 595242-854,05,component broken,QA Inspection Station,Jerome,Afternoon,Resistor,FX-013,2025-W09,Low
Model 595214-125,05,wrong routing,Final Assembly Line,Zoya,Afternoon,Connector,FX-043,2025-W07,Low
Model 595323-328,01,missing/unknown,Production Line 3,Sloane,Afternoon,Capacitor,FX-017,2025-W46,Low
Model 595214-125,04,excessive solder,Production Line 3,Daysha,Afternoon,Transistor,FX-021,2025-W01,High
Model 595130-195,02,component misalignment,QA Inspection Station,Daysha,Morning,Capacitor,FX-024,2025-W16,Low
Model 595859-381,03,damaged component,Production Line 1,Alaine,Night,Connector,FX-003,2025-W40,Medium
Model 595130-195,05,missing/unknown,Production Line 1,Xiang Liang,Night,Connector,FX-018,2025-W21,Medium
Model 595242-854,05,long terminals,Unknown,Daysha,Night,Resistor,FX-005,2025-W24,Low
Model 595532-132,02,no property assembled,QA Inspection Station,Sloane,Afternoon,Diode,FX-018,2025-W42,Medium
Model 595242-854,03,lifted component,Production Line 2,Davonte,Morning,Resistor,FX-036,2025-W17,Medium
Model 595130-195,01,missing component,Unknown,Zoya,Morning,Resistor,FX-032,2025-W10,Low
Model 595242-854,03,solder bridge,QA Inspection Station,Jerome,Morning,Capacitor,FX-001,2025-W16,Medium
Model 595130-195,03,missing/unknown,Production Line 1,Darci,Afternoon,Capacitor,FX-003,2025-W37,High
Model 595242-854,02,solder bridge,Production Line 3,Mel,Afternoon,Connector,FX-007,2025-W38,Medium
Model 595242-854,04,lifted component,Production Line 3,Tristian,Night,Capacitor,FX-002,2025-W41,High
Model 595204-792,05,solder void,Production Line 2,Daysha,Afternoon,Transistor,FX-002,2025-W11,High
Model 595242-854,02,pin hole,Production Line 2,Mel,Morning,Diode,FX-026,2025-W31,High
Model 595130-195,02,no property assembled,Final Assembly Line,Mel,Night,Resistor,FX-007,2025-W50,Low
Model 595214-125,01,reversed component,Production Line 1,Mel,Night,Connector,FX-025,2025-W41,High
Model 595214-125,04,excessive solder,Final Assembly Line,Sloane,Night,Resistor,FX-027,2025-W32,High
Model 595859-381,02,damaged/ lifted pad,Final Assembly Line,Leena,Night,Connector,FX-035,2025-W37,High
Model 595242-854,05,lifted component,Production Line 3,Alaine,Morning,Capacitor,FX-049,2025-W46,High
Model 595214-125,04,solder bridge,Final Assembly Line,Sloane,Morning,Connector,FX-010,2025-W23,Low
Model 595130-195,05,missing/unknown,Unknown,Sloane,Morning,Diode,FX-019,2025-W27,High
Model 595214-125,02,insufficient solder,Production Line 2,Tristian,Night,Resistor,FX-042,2025-W37,Medium
Model 595532-132,01,long terminals,Production Line 3,Daysha,Morning,Diode,FX-022,2025-W11,High
Model 595130-195,01,no property assembled,Production Line 1,Leena,Afternoon,Connector,FX-026,2025-W31,Medium
Model 595130-195,04,component misalignment,QA Inspection Station,Davonte,Afternoon,Connector,FX-031,2025-W38,Low
Model 595130-195,03,missing component,Production Line 1,Mel,Night,Diode,FX-035,2025-W11,High
Model 595214-125,02,solder bridge,Unknown,Jerome,Night,Diode,FX-016,2025-W36,High
Model 595214-125,01,excessive solder,Production Line 2,Sloane,Night,Transistor,FX-036,2025-W07,Low
Model 595859-381,01,damaged component,Unknown,Sloane,Morning,Connector,FX-028,2025-W13,Medium
Model 595130-195,03,no property assembled,QA Inspection Station,Alaine,Morning,Transistor,FX-023,2025-W05,Low
Model 595859-381,01,reversed component,Production Line 3,Tristian,Afternoon,Connector,FX-003,2025-W06,Low
Model 595323-328,04,billboarding,Production Line 2,Davonte,Night,Connector,FX-049,2025-W02,Medium
Model 595214-125,01,component height/titled,Production Line 1,Mel,Afternoon,Transistor,FX-035,2025-W17,Low
Model 595214-125,01,excessive solder,Final Assembly Line,Daysha,Morning,Diode,FX-034,2025-W10,Medium
Model 595242-854,01,pin hole,Production Line 1,Geofrey,Night,Connector,FX-001,2025-W03,Medium
Model 595242-854,02,pin hole,Production Line 2,Jerome,Night,Connector,FX-009,2025-W45,Medium
Model 595242-854,03,solder bridge,Production Line 3,Sloane,Morning,Diode,FX-010,2025-W07,Low
Model 595130-195,02,missing/unknown,Production Line 3,Alaine,Night,Transistor,FX-021,2025-W26,Medium
Model 595859-381,03,damaged/ lifted pad,Production Line 3,Darci,Night,Resistor,FX-018,2025-W33,Low
Model 595532-132,03,damaged/ lifted pad,Final Assembly Line,Davonte,Night,Resistor,FX-048,2025-W48,Low
Model 595242-854,02,lifted component,Production Line 1,Leena,Night,Capacitor,FX-033,2025-W18,Low
Model 595214-125,03,solder bridge,Unknown,Zoya,Night,Diode,FX-031,2025-W12,Low
Model 595323-328,04,pin damaged,Final Assembly Line,Zoya,Afternoon,Transistor,FX-036,2025-W11,Low
Model 595532-132,01,insufficient solder,Production Line 1,Darci,Morning,Capacitor,FX-044,2025-W52,Low
Model 595214-125,03,reversed component,Unknown,Xiang Liang,Afternoon,Connector,FX-030,2025-W47,Low
Model 595242-854,04,component broken,Production Line 2,Xiang Liang,Morning,Connector,FX-005,2025-W22,Low
Model 595532-132,05,no property assembled,QA Inspection Station,Davonte,Morning,Resistor,FX-019,2025-W41,High
Model 595859-381,03,wrong routing,Final Assembly Line,Jerome,Morning,Transistor,FX-044,2025-W33,High
Model 595214-125,01,component height/titled,Production Line 3,Geofrey,Afternoon,Capacitor,FX-023,2025-W03,Medium
Model 595242-854,02,lifted component,Final Assembly Line,Sloane,Night,Resistor,FX-025,2025-W13,Low
Model 595323-328,05,component broken,QA Inspection Station,Alaine,Morning,Transistor,FX-023,2025-W09,High
Model 595214-125,03,solder bridge,QA Inspection Station,Tristian,Morning,Resistor,FX-011,2025-W37,High
Model 595214-125,02,reversed component,Production Line 2,Darci,Night,Diode,FX-015,2025-W29,High
Model 595242-854,03,damaged/ lifted pad,Final Assembly Line,Mel,Afternoon,Connector,FX-047,2025-W16,Low
Model 595859-381,04,damaged component,Production Line 1,Zoya,Night,Connector,FX-030,2025-W07,Low
Model 595242-854,05,component broken,Final Assembly Line,Tristian,Afternoon,Capacitor,FX-049,2025-W40,Low
Model 595214-125,03,no property assembled,Production Line 1,Darci,Afternoon,Capacitor,FX-023,2025-W29,High
Model 595214-125,04,damaged/ lifted pad,Production Line 2,Geofrey,Night,Resistor,FX-008,2025-W02,Low
Model 595532-132,03,wrong component,Final Assembly Line,Zoya,Afternoon,Diode,FX-042,2025-W14,Medium
Model 595214-125,05,component height/titled,Production Line 3,Geofrey,Morning,Transistor,FX-002,2025-W36,Low
Model 595859-381,03,damaged/ lifted pad,Unknown,Darci,Morning,Capacitor,FX-021,2025-W44,Medium
Model 595189-704,02,component misalignment,Unknown,Geofrey,Night,Diode,FX-034,2025-W08,High
Model 595214-125,02,pin hole,Production Line 2,Tristian,Morning,Transistor,FX-032,2025-W18,High
Model 595532-132,05,damaged/ lifted pad,QA Inspection Station,Geofrey,Morning,Transistor,FX-020,2025-W49,High
Model 595130-195,03,missing/unknown,QA Inspection Station,Sloane,Afternoon,Resistor,FX-018,2025-W04,Medium
Model 595242-854,03,component broken,Unknown,Daysha,Afternoon,Transistor,FX-029,2025-W25,Low
Model 595204-792,01,reversed component,QA Inspection Station,Leena,Night,Transistor,FX-017,2025-W41,Medium
Model 595214-125,01,insufficient solder,Production Line 3,Xiang Liang,Morning,Capacitor,FX-035,2025-W49,High
Model 595532-132,03,no property assembled,Production Line 3,Mel,Night,Connector,FX-043,2025-W51,Medium
Model 595242-854,03,lifted component,Production Line 3,Darci,Night,Resistor,FX-020,2025-W02,Low
Model 595214-125,03,reversed component,Production Line 1,Alaine,Afternoon,Connector,FX-038,2025-W16,Low
Model 595130-195,05,component broken,QA Inspection Station,Sloane,Night,Transistor,FX-035,2025-W05,Low
Model 595532-132,04,long terminals,QA Inspection Station,Daysha,Night,Connector,FX-035,2025-W17,High
Model 595532-132,01,damaged/ lifted pad,Production Line 3,Sloane,Afternoon,Transistor,FX-036,2025-W34,Low
Model 595242-854,03,component broken,QA Inspection Station,Zoya,Afternoon,Connector,FX-047,2025-W50,Medium
Model 595532-132,03,insufficient solder,Production Line 1,Sloane,Afternoon,Connector,FX-046,2025-W19,Low
Model 595214-125,02,pin hole,QA Inspection Station,Zoya,Night,Diode,FX-014,2025-W29,High
Model 595532-132,01,long terminals,Unknown,Geofrey,Afternoon,Capacitor,FX-011,2025-W38,Medium
Model 595130-195,02,missing component,Unknown,Geofrey,Afternoon,Transistor,FX-020,2025-W43,High
Model 595532-132,03,wrong routing,QA Inspection Station,Darci,Night,Resistor,FX-030,2025-W08,Low
Model 595214-125,04,component height/titled,Production Line 1,Daysha,Night,Resistor,FX-009,2025-W24,High
Model 595214-125,04,component height/titled,Production Line 2,Tristian,Night,Diode,FX-002,2025-W19,Medium
Model 595242-854,02,solder bridge,QA Inspection Station,Tristian,Afternoon,Capacitor,FX-018,2025-W47,Medium
Model 595214-125,05,excessive solder,Unknown,Mel,Night,Resistor,FX-012,2025-W40,Low
Model 595532-132,05,long terminals,Unknown,Sloane,Afternoon,Diode,FX-041,2025-W35,Low
Model 595323-328,02,pin damaged,QA Inspection Station,Xiang Liang,Night,Capacitor,FX-044,2025-W52,High
Model 595204-792,02,solder void,Production Line 1,Sloane,Afternoon,Capacitor,FX-036,2025-W17,High
Model 595859-381,02,reversed component,Unknown,Zoya,Night,Connector,FX-037,2025-W37,High
Model 595242-854,04,lifted component,QA Inspection Station,Jerome,Morning,Transistor,FX-039,2025-W39,Medium
Model 595532-132,02,damaged/ lifted pad,QA Inspection Station,Xiang Liang,Morning,Transistor,FX-007,2025-W50,High
Model 595532-132,01,long terminals,Unknown,Xiang Liang,Morning,Diode,FX-020,2025-W52,Low
Model 595214-125,03,solder bridge,Production Line 1,Zoya,Afternoon,Transistor,FX-046,2025-W40,High
Model 595130-195,01,lifted component,Final Assembly Line,Alaine,Morning,Transistor,FX-050,2025-W37,High
Model 595242-854,05,solder bridge,Production Line 2,Geofrey,Morning,Transistor,FX-023,2025-W35,Medium
Model 595242-854,01,component broken,Unknown,Zoya,Afternoon,Diode,FX-048,2025-W38,High
Model 595214-125,02,solder bridge,Production Line 2,Zoya,Afternoon,Resistor,FX-029,2025-W51,Medium
Model 595859-381,05,reversed component,Unknown,Davonte,Morning,Connector,FX-040,2025-W22,Low
Model 595323-328,02,component broken,Final Assembly Line,Alaine,Night,Diode,FX-019,2025-W34,Low
Model 595242-854,02,solder bridge,Unknown,Jerome,Afternoon,Capacitor,FX-026,2025-W21,Medium
Model 595130-195,04,missing/unknown,Unknown,Tristian,Night,Capacitor,FX-038,2025-W28,Medium
Model 595242-854,05,lifted component,QA Inspection Station,Darci,Afternoon,Connector,FX-042,2025-W13,High
Model 595130-195,03,no property assembled,Production Line 3,Alaine,Night,Capacitor,FX-044,2025-W22,Medium
Model 595859-381,04,pin damaged,Final Assembly Line,Leena,Morning,Connector,FX-009,2025-W39,Medium
Model 595532-132,01,no property assembled,Production Line 2,Davonte,Morning,Transistor,FX-046,2025-W44,Low
Model 595859-381,03,wrong component,Production Line 1,Daysha,Morning,Diode,FX-017,2025-W21,High
Model 595130-195,02,bad modules,Production Line 3,Jerome,Night,Resistor,FX-020,2025-W51,High
Model 595214-125,03,pin hole,QA Inspection Station,Daysha,Morning,Resistor,FX-035,2025-W02,Low
Model 595242-854,01,solder bridge,Production Line 1,Geofrey,Afternoon,Connector,FX-040,2025-W03,High
Model 595242-854,04,pin hole,Production Line 3,Mel,Morning,Resistor,FX-045,2025-W35,Medium
Model 595532-132,02,insufficient solder,Production Line 2,Alaine,Morning,Resistor,FX-004,2025-W43,Low
Model 595214-125,05,component height/titled,Production Line 1,Davonte,Afternoon,Transistor,FX-037,2025-W39,Low
Model 595532-132,05,damaged/ lifted pad,Production Line 2,Mel,Night,Resistor,FX-047,2025-W35,Low
Model 595130-195,05,no property assembled,Unknown,Sloane,Afternoon,Transistor,FX-003,2025-W11,Low
Model 595242-854,05,pin hole,QA Inspection Station,Tristian,Morning,Capacitor,FX-007,2025-W14,Medium
Model 595130-195,03,wrong component,Unknown,Zoya,Afternoon,Capacitor,FX-014,2025-W24,Low
Model 595323-328,03,pin damaged,Final Assembly Line,Tristian,Night,Connector,FX-042,2025-W39,Low
Model 595242-854,04,wrong component,Production Line 3,Daysha,Night,Resistor,FX-033,2025-W25,Low
Model 595130-195,04,insufficient solder,Production Line 3,Tristian,Morning,Resistor,FX-004,2025-W37,Medium
Model 595214-125,03,excessive solder,Final Assembly Line,Geofrey,Morning,Diode,FX-036,2025-W50,Low
Model 595532-132,04,long terminals,Production Line 2,Mel,Afternoon,Connector,FX-027,2025-W02,Low
Model 595130-195,01,lifted component,Production Line 1,Mel,Morning,Resistor,FX-001,2025-W10,High
Model 595130-195,05,missing/unknown,Production Line 2,Daysha,Night,Capacitor,FX-010,2025-W17,Low
Model 595323-328,01,damaged/ lifted pad,Production Line 1,Alaine,Night,Diode,FX-042,2025-W27,High
Model 595859-381,02,damaged component,QA Inspection Station,Alaine,Morning,Transistor,FX-018,2025-W22,High
Model 595130-195,01,missing component,Unknown,Geofrey,Night,Resistor,FX-012,2025-W27,High
Model 595323-328,03,damaged/ lifted pad,Production Line 1,Davonte,Morning,Diode,FX-033,2025-W50,Medium
Model 595858-658,05,solder void,Final Assembly Line,Daysha,Afternoon,Transistor,FX-002,2025-W40,High
Model 595130-195,03,missing component,Production Line 3,Geofrey,Night,Transistor,FX-001,2025-W07,High
Model 595214-125,01,reversed component,Unknown,Xiang Liang,Morning,Capacitor,FX-008,2025-W09,High
Model 595242-854,05,pin hole,Production Line 2,Davonte,Night,Connector,FX-014,2025-W03,Low
Model 595532-132,02,no property assembled,Final Assembly Line,Daysha,Night,Transistor,FX-003,2025-W37,Low
